,Date,Team,Acquired,Relinquished,Notes,Injury Type
2414,2012-12-10,76ers,,Damien Wilkins,strained right calf (DNP),calf
2415,2012-12-10,76ers,,Royal Ivey,strained right groin (DNP),groin
2416,2012-12-10,Blazers,,Wesley Matthews / Wes Matthews Jr.,bruised left hip (DNP),bruise
2417,2012-12-10,Kings,,Tyreke Evans,sore left knee (DNP),knee
2418,2012-12-10,Mavericks,,Dominique Jones,illness (DNP),illness
2419,2012-12-10,Raptors,,Linas Kleiza,right knee injury (DNP),knee
2420,2012-12-10,Rockets,,James Harden,sprained right ankle (DNP),ankle
2421,2012-12-11,Knicks,,Marcus Camby,sore left foot (DNP),foot
2422,2012-12-11,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2423,2012-12-11,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2424,2012-12-11,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2425,2012-12-12,76ers,,Damien Wilkins,strained right calf (DNP),calf
2426,2012-12-12,76ers,,Royal Ivey,strep throat (DNP),illness
2427,2012-12-12,Bucks,,Larry Sanders,illness (DNP),illness
2428,2012-12-12,Bulls,,Kirk Hinrich,left knee injury (DTD),knee
2429,2012-12-12,Cavaliers,,Omri Casspi,gastroenteritis (DNP),illness
2430,2012-12-12,Mavericks,,Jae Crowder,illness (DNP),illness
2431,2012-12-12,Raptors,,Kyle Lowry,torn right triceps (DNP),arm
2432,2012-12-12,Raptors,,Linas Kleiza,sore right knee (DNP),knee
2434,2012-12-12,Timberwolves,,Josh Howard,illness (DNP),illness
2435,2012-12-12,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2436,2012-12-12,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2437,2012-12-13,Knicks,,Marcus Camby,sore left foot (DNP),foot
2438,2012-12-13,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2439,2012-12-14,76ers,,Jrue Holiday,sprained left foot (DTD),foot
2440,2012-12-14,Bucks,,Mike Dunleavy Jr.,bruised left knee (DNP),bruise
2441,2012-12-14,Hornets,,Jason Smith,sprained right shoulder (DNP),shoulder
2442,2012-12-14,Lakers,,Jordan Hill,back spasms (DNP),back
2443,2012-12-14,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2444,2012-12-14,Pacers,,Lance Stephenson,sprained right ankle (DNP),ankle
2445,2012-12-14,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2446,2012-12-14,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2447,2012-12-14,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2448,2012-12-15,Bulls,,Kirk Hinrich,bruised left knee (DNP),bruise
2449,2012-12-15,Cavaliers,,Omri Casspi,gastroenteritis (DNP),illness
2450,2012-12-15,Grizzlies,,Darrell Arthur,concussion (DNP),head
2451,2012-12-15,Knicks,,Carmelo Anthony,sprained left ankle (DNP),ankle
2452,2012-12-15,Knicks,,Marcus Camby,sore left foot (DNP),foot
2453,2012-12-15,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2454,2012-12-15,Pacers,,Lance Stephenson,sprained right ankle (DNP),ankle
2455,2012-12-15,Timberwolves,,Josh Howard,hyperextended right knee (DNP),knee
2456,2012-12-15,Timberwolves,,Kevin Love,flu (P) / right thumb injury (CBC) (DNP),hand/finger
2457,2012-12-15,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2458,2012-12-15,Warriors,,Festus Ezeli,bruised right knee (DNP),bruise
2459,2012-12-15,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore left foot (DNP),foot
2460,2012-12-16,76ers,,Jrue Holiday,sprained left foot (DNP),foot
2461,2012-12-16,Lakers,,Jordan Hill,back spasms (DNP),back
2462,2012-12-16,Lakers,,Pau Gasol,tendinitis in both knees (DNP),knee
2463,2012-12-16,Rockets,,Patrick Patterson,bone bruise in right foot (DNP),bruise
2464,2012-12-17,Kings,,Tyreke Evans,sore left knee (DNP),knee
2465,2012-12-17,Knicks,,Carmelo Anthony,sprained left ankle (DNP),ankle
2466,2012-12-17,Knicks,,Marcus Camby,sore left foot (DNP),foot
2467,2012-12-17,Pistons,,Rodney Stuckey,back spasms (DNP),back
2468,2012-12-17,Rockets,,Patrick Patterson,bone bruise in right foot (DNP),bruise
2469,2012-12-17,Spurs,,Emanuel Ginobili / Manu Ginobili,bruised left quadricep (DNP),bruise
2470,2012-12-17,Timberwolves,,Josh Howard,hyperextended right knee (DNP),knee
2471,2012-12-17,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2472,2012-12-18,76ers,,Jrue Holiday,sprained left foot (DNP),foot
2473,2012-12-18,Heat,,Terrel Harris,illness (DTD),illness
2474,2012-12-18,Mavericks,,Elton Brand,strained right groin (DNP),groin
2475,2012-12-18,Timberwolves,,Josh Howard,hyperextended right knee (DNP),knee
2476,2012-12-18,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2477,2012-12-18,Timberwolves,,Ricky Rubio,rest / sore left knee (DNP),knee
2478,2012-12-18,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2479,2012-12-18,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2480,2012-12-19,76ers,,Jrue Holiday,sprained left foot (DNP),foot
2481,2012-12-19,Cavaliers,,Daniel Gibson,sprained right ankle (DNP),ankle
2482,2012-12-19,Celtics,,Chris Wilcox,sprained right thumb (out indefinitely),hand/finger
2483,2012-12-19,Knicks,,Marcus Camby,sore left foot (DNP),foot
2484,2012-12-19,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2485,2012-12-19,Knicks,,Steve Novak,flu (DNP),illness
2486,2012-12-19,Rockets,,Patrick Patterson,bone bruise in right foot (DNP),bruise
2487,2012-12-19,Wizards,,Bradley Beal,back injury (DNP),back
2488,2012-12-20,Blazers,,LaMarcus Aldridge,sore left ankle (DNP),ankle
2489,2012-12-20,Magic,,Glen Davis,strained left shoulder (out indefinitely),shoulder
2490,2012-12-20,Mavericks,,Brandan Wright,sprained right ankle (DNP),ankle
2491,2012-12-20,Mavericks,,Derek Fisher,strained right knee (DNP),knee
2492,2012-12-20,Mavericks,,Elton Brand,strained right groin (DNP),groin
2493,2012-12-20,Thunder,,Kevin Martin,bruised right quadriceps (DNP),bruise
2494,2012-12-20,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2495,2012-12-20,Timberwolves,,Josh Howard,torn ACL in right knee (out indefinitely),knee
2496,2012-12-21,Bobcats,,Ben Gordon,sore right knee (DNP),knee
2497,2012-12-21,Celtics,,Chris Wilcox,sprained right thumb (DNP),hand/finger
2498,2012-12-21,Kings,,Francisco Garcia,sore lower back (DNP),back
2499,2012-12-21,Knicks,,Marcus Camby,sore left foot (DNP),foot
2500,2012-12-21,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2501,2012-12-21,Magic,,Glen Davis,sprained left shoulder (DNP),shoulder
2502,2012-12-21,Mavericks,,Elton Brand,strained right groin (DNP),groin
2503,2012-12-21,Raptors,,Jonas Valanciunas,fractured right ring finger (out indefinitely),hand/finger
2504,2012-12-21,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2505,2012-12-21,Wizards,,Bradley Beal,sore back (DNP),back
2506,2012-12-21,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore left foot (P) / flu (CBC) (DNP),illness
2507,2012-12-21,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2508,2012-12-22,Bobcats,,Ben Gordon,sore right knee (DNP),knee
2509,2012-12-22,Bobcats,,Gerald Henderson (b),bruised right shin (DNP),bruise
2510,2012-12-22,Grizzlies,,Tony Wroten Jr.,migraine headache (DNP),head
2511,2012-12-22,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2512,2012-12-22,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2513,2012-12-23,Blazers,,Wesley Matthews / Wes Matthews Jr.,left hip injury (DNP),hip
2514,2012-12-23,Bobcats,,Byron Mullens / B.J. Mullens,sprained left ankle (out indefinitely),ankle
2515,2012-12-23,Jazz,,Maurice Williams / Mo Williams,sprained right thumb (out indefiinitely),hand/finger
2516,2012-12-23,Jazz,,Maurice Williams / Mo Williams,sprained right thumb (DNP),hand/finger
2517,2012-12-23,Kings,,Francisco Garcia,sore lower back (DNP),back
2518,2012-12-23,Knicks,,Marcus Camby,sore left foot (DNP),foot
2519,2012-12-23,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2520,2012-12-23,Magic,,Glen Davis,sprained left shoulder (DNP),shoulder
2521,2012-12-23,Timberwolves,,Kevin Love,left eye injury (DNP),face
2522,2012-12-23,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2523,2012-12-25,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2524,2012-12-26,76ers,,Jason Richardson,strained lower back (DNP),back
2525,2012-12-26,Jazz,,Maurice Williams / Mo Williams,sprained right thumb (DNP),hand/finger
2526,2012-12-26,Knicks,,Carmelo Anthony,hyperextended left knee (DNP),knee
2527,2012-12-26,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2528,2012-12-26,Knicks,,Raymond Felton,fractured right pinky finger (DNP),hand/finger
2529,2012-12-26,Magic,,Glen Davis,sprained left shoulder (DNP),shoulder
2530,2012-12-26,Nets,,Deron Williams,bruised right wrist (DNP),bruise
2531,2012-12-26,Spurs,,Gary Neal,strained right calf (DNP),calf
2532,2012-12-26,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2533,2012-12-27,Celtics,,Chris Wilcox,sprained right thumb (DNP),hand/finger
2534,2012-12-28,Hawks,,DeShawn Stevenson,knee injury (DNP),knee
2535,2012-12-28,Hawks,,Ivan Johnson,illness (DNP),illness
2536,2012-12-28,Jazz,,Maurice Williams / Mo Williams,sprained right thumb (DNP),hand/finger
2537,2012-12-28,Knicks,,Carmelo Anthony,hyperextended left knee (DNP),knee
2538,2012-12-28,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2539,2012-12-28,Knicks,,Raymond Felton,fractured right pinky finger (DNP),hand/finger
2540,2012-12-28,Magic,,Glen Davis,sprained left shoulder (DNP),shoulder
2541,2012-12-28,Pacers,,Sam Young,flu (DNP),illness
2542,2012-12-28,Rockets,,Carlos Delfino,illness (DNP),illness
2543,2012-12-28,Spurs,,Gary Neal,strained right calf (DNP),calf
2544,2012-12-28,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2545,2012-12-28,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2546,2012-12-29,Celtics,,Rajon Rondo,hip injury (DNP),hip
2547,2012-12-29,Hawks,,Anthony Morrow,strained right hip (DTD),hip
2548,2012-12-29,Hawks,,Josh Smith,hip flexor injury (DNP),hip
2549,2012-12-29,Magic,,E'Twaun Moore,sprained left elbow (DNP),arm
2550,2012-12-29,Magic,,Jameer Nelson,sore left hip (DNP),hip
2551,2012-12-29,Pacers,,Sam Young,flu (DNP),illness
2552,2012-12-29,Rockets,,Carlos Delfino,illness (DNP),illness
2553,2012-12-29,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2554,2012-12-29,Timberwolves,,Ricky Rubio,back spasms (DNP),back
2555,2012-12-29,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2556,2012-12-29,Wizards,,Jordan Crawford,sore left ankle (DNP),ankle
2557,2012-12-29,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2558,2012-12-30,Celtics,,Chris Wilcox,sprained right thumb (DNP),hand/finger
2559,2012-12-30,Jazz,,Marvin Williams,right knee inflammation (DNP),knee
2560,2012-12-30,Jazz,,Maurice Williams / Mo Williams,sprained right thumb (DNP),hand/finger
2561,2012-12-30,Kings,,Aaron Brooks,sore left ankle (DNP),ankle
2562,2012-12-30,Spurs,,Gary Neal,strained right calf (DNP),calf
2563,2012-12-31,Bobcats,,Michael Kidd-Gilchrist,scratched cornea (DNP),face
2564,2012-12-31,Bulls,,Kirk Hinrich,left knee injury (DNP),knee
2565,2012-12-31,Magic,,E'Twaun Moore,sprained left elbow (DNP),arm
2566,2012-12-31,Magic,,Gustavo Ayon,bruised right thigh (DNP),bruise
2567,2012-12-31,Magic,,Jameer Nelson,sore left hip (DNP),hip
2568,2012-12-31,Pacers,,George Hill,strained right groin (DNP),groin
2569,2012-12-31,Spurs,,Gary Neal,strained right calf (DNP),calf
2570,2013-01-01,Hawks,,Anthony Morrow,strained right hip (DNP),hip
2571,2013-01-01,Kings,,Marcus Thornton (T.),sprained left ankle (DNP),ankle
2572,2013-01-01,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2573,2013-01-01,Lakers,,Chris Duhon,back spasms (DNP),back
2574,2013-01-01,Nuggets,,Ty Lawson,strained left Achilles tendon (DNP),illness
2575,2013-01-01,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2576,2013-01-01,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2577,2013-01-02,Bulls,,Joakim Noah,flu (DNP),illness
2578,2013-01-02,Bulls,,Vladimir Radmanovic,flu (DNP),illness
2579,2013-01-02,Celtics,,Kris Joseph,sprained right ankle (DNP),ankle
2580,2013-01-02,Hornets,,Eric Gordon,right knee injury (DNP),knee
2581,2013-01-02,Jazz,,Maurice Williams / Mo Williams,surgery on right thumb (out indefinitely),hand/finger
2582,2013-01-02,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP),hand/finger
2583,2013-01-02,Kings,,Marcus Thornton (T.),sprained left ankle (DNP),ankle
2584,2013-01-02,Magic,,E'Twaun Moore,sprained left elbow (DNP),arm
2585,2013-01-02,Nets,,C.J. Watson,right knee injury (DTD),knee
2586,2013-01-02,Raptors,,Linas Kleiza,sore right knee (DNP),knee
2587,2013-01-02,Rockets,,Cole Aldrich,flu (DNP),illness
2588,2013-01-02,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2589,2013-01-02,Timberwolves,,Ricky Rubio,back spasms (DNP),back
2590,2013-01-02,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2591,2013-01-02,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2592,2013-01-02,Celtics,,Fab Melo,concussion (DTD),head
2593,2013-01-03,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2594,2013-01-03,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2595,2013-01-03,Timberwolves,,Ricky Rubio,back spasms (DNP),back
2596,2013-01-04,Clippers,,Jamal Crawford,sore left foot (DNP),foot
2597,2013-01-04,Grizzlies,,Zach Randolph,flu (DNP),illness
2598,2013-01-04,Hawks,,Anthony Morrow,strained right hip (DNP),hip
2599,2013-01-04,Hawks,,Johan Petro,sore back / flu (DNP),illness
2600,2013-01-04,Jazz,,Enes Kanter,sprained right ankle (DNP),ankle
2601,2013-01-04,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP),hand/finger
2602,2013-01-04,Kings,,Marcus Thornton (T.),sprained left ankle (DNP),ankle
2603,2013-01-04,Pacers,,Sam Young,sprained left ankle (DNP),ankle
2604,2013-01-04,Raptors,,Linas Kleiza,sore right knee (DNP),knee
2605,2013-01-04,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2606,2013-01-04,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2607,2013-01-05,Bucks,,Sam Young,sprained left ankle (DNP),ankle
2608,2013-01-05,Cavaliers,,Samardo Samuels,illness (DNP),illness
2609,2013-01-05,Clippers,,Jamal Crawford,sore left foot (DNP),foot
2610,2013-01-05,Hawks,,Anthony Morrow,strained right hip (DNP),hip
2611,2013-01-05,Jazz,,Enes Kanter,sprained right ankle (DNP),ankle
2612,2013-01-05,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP),hand/finger
2613,2013-01-05,Kings,,Marcus Thornton (T.),sprained left ankle (DNP),ankle
2614,2013-01-05,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2615,2013-01-05,Magic,,E'Twaun Moore,sprained left elbow (DNP),arm
2616,2013-01-05,Magic,,Gustavo Ayon,bruised right thigh (DNP),bruise
2617,2013-01-05,Spurs,,Stephen Jackson,sprained right ankle (DNP),ankle
2618,2013-01-05,Timberwolves,,Kevin Love,fractured right hand/finger (DNP),hand/finger
2619,2013-01-05,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2620,2013-01-05,Timberwolves,,Ricky Rubio,back spasms (DNP),back
2621,2013-01-06,Raptors,,Aaron Gray,flu (DNP),illness
2622,2013-01-06,Raptors,,Linas Kleiza,sore right knee (DNP),knee
2623,2013-01-06,Wizards,,A.J. Price,fractured right hand (DNP),hand/finger
2624,2013-01-06,Wizards,,Trevor Ariza,strained left calf (DNP),calf
2625,2013-01-07,Jazz,,Maurice Williams / Mo Williams,recovering from surgery on right thumb (DNP),hand/finger
2626,2013-01-07,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2627,2013-01-07,Magic,,E'Twaun Moore,strained left elbow (DNP),arm
2628,2013-01-07,Magic,,Gustavo Ayon,bruised right thigh (DNP),bruise
2629,2013-01-07,Wizards,,Cartier Martin,hyperextended left knee (DNP),knee
2630,2013-01-07,Wizards,,Jordan Crawford,sore left ankle (DNP),ankle
2631,2013-01-07,Wizards,,Nene / Nene Hilario / Maybyner Hilario,right knee tendinitis (DNP),knee
2632,2013-01-08,Hawks,,Johan Petro,sore back (DNP),back
2633,2013-01-08,Lakers,,Dwight Howard,right shoulder injury (DNP),shoulder
2634,2013-01-08,Lakers,,Jordan Hill,right hip injury (DNP),hip
2635,2013-01-08,Lakers,,Pau Gasol,concussion (DNP),head
2636,2013-01-08,Timberwolves,,Kevin Love,fractured right hand/finger (DNP),hand/finger
2637,2013-01-08,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2638,2013-01-09,Bulls,,Kirk Hinrich,right elbow injury (DNP),arm
2639,2013-01-09,Cavaliers,,C.J. Miles,back spasms (DNP),back
2640,2013-01-09,Hawks,,Anthony Morrow,strained right hip (DNP),hip
2641,2013-01-09,Jazz,,Marvin Williams,right knee inflammation (DNP),knee
2642,2013-01-09,Lakers,,Dwight Howard,right shoulder injury (DNP),shoulder
2643,2013-01-09,Lakers,,Jordan Hill,left hip injury (DNP),hip
2644,2013-01-09,Lakers,,Pau Gasol,concussion (DNP),head
2645,2013-01-09,Magic,,E'Twaun Moore,sprained left elbow (DNP),arm
2646,2013-01-09,Magic,,Gustavo Ayon,bruised right thigh (DNP),bruise
2647,2013-01-09,Magic,,Hidayet Turkoglu / Hedo Turkoglu,left hand injury (DTD),hand/finger
2648,2013-01-09,Raptors,,Linas Kleiza,sore right knee (DNP),knee
2649,2013-01-09,Raptors,,Terrence Ross,sprained left ankle (DNP),ankle
2650,2013-01-09,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,back spasms (DNP),back
2651,2013-01-09,Timberwolves,,Kevin Love,fractured right hand/finger (DNP),hand/finger
2652,2013-01-09,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2653,2013-01-10,Cavaliers,,Anderson Varejao,surgery on right knee to repair torn muscle,knee
2654,2013-01-10,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2655,2013-01-11,Jazz,,Marvin Williams,right knee inflammation (DNP),knee
2656,2013-01-11,Knicks,,Marcus Camby,strained left foot (DNP),foot
2657,2013-01-11,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2658,2013-01-11,Lakers,,Dwight Howard,right shoulder injury (DNP),shoulder
2659,2013-01-11,Lakers,,Jordan Hill,left hip injury (DNP),hip
2660,2013-01-11,Lakers,,Pau Gasol,concussion (DNP),head
2661,2013-01-11,Nets,,Kris Humphries,sore left ankle (DNP),ankle
2662,2013-01-11,Nets,,Mirza Teletovic,illness (DNP),illness
2663,2013-01-11,Raptors,,Linas Kleiza,sore right knee (DNP),knee
2664,2013-01-11,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,back spasms (DNP),back
2665,2013-01-11,Timberwolves,,Kevin Love,fractured right hand/finger (DNP),hand/finger
2666,2013-01-11,Timberwolves,,Lazar Hayward,illness (DNP),illness
2667,2013-01-11,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2668,2013-01-11,Warriors,,Andris Biedrins,strained right groin (DNP),groin
2669,2013-01-12,Grizzlies,,Quincy Pondexter,sprained MCL in left knee (DNP),knee
2670,2013-01-12,Jazz,,Marvin Williams,right knee inflammation (DNP),knee
2671,2013-01-12,Magic,,Gustavo Ayon,bruised right thigh (DNP),bruise
2672,2013-01-12,Suns,,Jared Dudley,right wrist injury (DTD),wrist
2673,2013-01-12,Timberwolves,,Malcolm Lee / Malcom Lee,surgery on right knee and right hip (out for season) (date approximate),knee
2674,2013-01-12,Wizards,,Jordan Crawford,sore left ankle (DNP),ankle
2675,2013-01-13,Knicks,,Marcus Camby,strained plantar fascia in left foot (DNP),foot
2676,2013-01-13,Knicks,,Rasheed Wallace,sore left foot (DNP),foot
2677,2013-01-13,Lakers,,Pau Gasol,concussion (DNP),head
2678,2013-01-13,Nets,,Gerald Wallace,bruised ribs (DTD),bruise
2679,2013-01-13,Thunder,,Thabo Sefolosha,strained neck (DNP),neck
2680,2013-01-13,Timberwolves,,Kevin Love,fractured right hand/finger (DNP),hand/finger
2681,2013-01-13,Timberwolves,,Malcolm Lee / Malcom Lee,hyperextended right knee (DNP),knee
2682,2013-01-13,Warriors,,Andris Biedrins,strained right groin (DNP),groin
2683,2013-01-14,Clippers,,Chris Paul,bruised right knee (DNP),bruise
2684,2013-01-14,Hawks,,DeShawn Stevenson,sore right knee (DNP),knee
2685,2013-01-14,Spurs,,Emanuel Ginobili / Manu Ginobili,strained left hamstring (out indefinitely),hamstring
2686,2013-01-14,Suns,,Jared Dudley,strained right wrist (DNP),wrist
